STFID Number,County,Census Tract,Population,% Whites,% African Americans,% Native Americans,% Asians,% Pacific Islanders,% Persons of Other Races,% Persons of More than One Race,Hispanics of Any Race,% Hispanics of Any Race,Minority Persons,% Minority Persons,Median Household Income,% Persons Below Poverty Level,Median Home Value,Owner-Occupied Units,Renter-Occupied Units,% Owner-Occupied Units,% Renter-Occupied Units
290950141051,Jackson,141.05,1006,88.2,3.5,1.1,1.4,0.2,1.9,3.8,62,6.2,147,14.6,59325,3.7,128402,240,105,69.6,30.4
290950111001,Jackson,111,980,93.3,2,0.3,0,0.3,2.1,1.9,43,4.4,86,8.8,35588,15.9,102222,317,90,77.9,22.1
290950129063,Jackson,129.06,662,36.9,54.4,0.8,2.9,0,2,3.2,39,5.9,443,66.9,54219,13.8,122376,194,54,78.2,21.8
290950085001,Jackson,85,645,96.4,1.9,0,0.9,0,0.2,0.6,8,1.2,30,4.7,125000,3.1,300000,250,1,99.6,0.4
290950160002,Jackson,160,905,13.4,76.5,1.8,0.7,0,5.7,2,92,10.2,810,89.5,34375,50.9,79659,158,174,47.6,52.4
290950086003,Jackson,86,691,93.8,2.9,0.1,1.6,0,0.4,1.2,19,2.7,58,8.4,46406,6.2,193750,302,78,79.5,20.5
290950157001,Jackson,157,878,73.1,17,0.9,3.9,0,2.5,2.6,53,6,262,29.8,34402,15,327500,83,565,12.8,87.2
290950114061,Jackson,114.06,1454,91.2,2.5,0.6,0.4,0.1,2.5,2.8,77,5.3,157,10.8,61071,8.3,93052,405,82,83.2,16.8
290470213063,Clay,213.06,1926,89.5,4.6,0.3,0.9,0.1,0.7,3.8,102,5.3,278,14.4,72478,2.4,180035,702,36,95.1,4.9
290950171003,Jackson,171,752,5.2,90.7,0.4,0,0,0.3,3.5,13,1.7,716,95.2,42500,20.5,45755,59,250,19.1,80.9
290950181004,Jackson,181,2671,86.4,8.9,0.2,1.9,0,0.9,1.6,88,3.3,420,15.7,78801,1,183500,826,154,84.3,15.7
291650306005,Platte,306,1093,98.1,0.4,0.4,0,0.1,0.5,0.5,14,1.3,28,2.6,73438,6.8,230804,374,40,90.3,9.7
290950136122,Jackson,136.12,3154,82.1,11.7,0.4,3.1,0.2,0.7,1.8,85,2.7,619,19.6,105165,2.8,321906,857,203,80.8,19.2
290370604002,Cass,604,1040,96.4,0.6,1.3,0.4,0,0.3,1,19,1.8,50,4.8,92188,1,296186,355,31,92,8
290950057003,Jackson,57,666,1.4,92.6,1.2,0,0,2,2.9,29,4.4,657,98.6,14439,20.7,48904,164,95,63.3,36.7
290950149021,Jackson,149.02,1295,96.6,0.2,0.3,0.1,0.2,0.8,1.9,37,2.9,67,5.2,69286,11.6,117880,322,122,72.5,27.5
290950149032,Jackson,149.03,3689,96.2,0.5,0.7,0.6,0.2,0.7,1.2,118,3.2,221,6,86404,3.5,206531,1199,73,94.3,5.7
290950095002,Jackson,95,693,42.1,51.2,0.4,0.6,0.3,0.9,4.5,31,4.5,422,60.9,32422,33.7,156790,152,121,55.7,44.3
290950128021,Jackson,128.02,1707,67.5,26.4,0.9,1.1,0,1.3,2.8,64,3.7,590,34.6,53333,11.3,122500,478,233,67.2,32.8
290950141121,Jackson,141.12,790,92.3,3.7,0.1,1.4,0.3,0.9,1.4,23,2.9,80,10.1,85714,0,245408,250,52,82.8,17.2
290950082004,Jackson,82,623,88.6,5.5,0.2,3,0,1.3,1.4,22,3.5,86,13.8,81833,7.9,161158,283,35,89,11
290370613004,Cass,613,2301,77.5,15.9,0.2,0.8,0,1.3,4.2,103,4.5,561,24.4,55000,19.2,139024,394,455,46.4,53.6
290950124004,Jackson,124,661,88,5.6,1.2,0,0.6,1.8,2.7,28,4.2,95,14.4,48804,5.5,94463,243,52,82.4,17.6
290370602023,Cass,602.02,2326,94.2,1.1,0.6,0.5,0,1.2,2.3,98,4.2,194,8.3,52350,6.4,111326,760,192,79.8,20.2
290950132102,Jackson,132.1,865,30.1,60.2,0.5,1.2,0,5.7,2.4,78,9,626,72.4,47321,19,86310,169,127,57.1,42.9
290950138021,Jackson,138.02,1669,88.6,6,0.5,1,0.1,1.2,2.6,73,4.4,233,14,66853,3.6,161957,544,141,79.4,20.6
290950074002,Jackson,74,915,59.8,6.6,0.1,30.5,0,1.1,2,29,3.2,385,42.1,38000,18.2,217000,137,220,38.4,61.6
290950165001,Jackson,165,766,8.5,84.5,0.3,0.1,0,3.1,3.5,60,7.8,721,94.1,29875,14.6,72297,164,115,58.8,41.2
290470213101,Clay,213.1,2770,89.4,3.8,0.8,2.3,0.1,0.8,2.7,124,4.5,379,13.7,95892,2.5,190072,825,78,91.4,8.6
290950162001,Jackson,162,606,22.8,71.8,0.5,0.5,0,1.8,2.6,30,5,482,79.5,18810,33.7,95385,122,131,48.2,51.8
