,Population,Median Age,Census Tract,KCMO Portion or Not,% Minority Persons,% Persons 25 or Older with BA Degree or Higher,Median Household Income,% Persons Below Poverty Level,% Owner-Occupied Units,% Renter-Occupied Units
158,0,0.0,300.02,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
159,389,40.7,301.01,KCMO,5.0,25.7,68368.0,6.6,92.9,7.1
160,2991,34.2,301.02,KCMO,30.7,46.7,71961.0,9.0,57.4,42.6
161,2713,36.4,301.03,KCMO,29.3,29.2,46059.0,12.6,51.5,48.5
162,1935,38.0,302.01,KCMO,11.6,54.1,97200.0,5.8,82.4,17.6
163,6932,37.7,302.05,KCMO,22.0,38.6,53279.0,5.6,44.2,55.8
164,4145,41.8,302.07,KCMO,15.8,41.3,63954.0,8.3,58.7,41.3
165,49,55.1,302.08,KCMO,61.0,38.7,14143.0,0.0,35.0,65.0
166,7259,36.0,302.09,KCMO,18.7,41.3,65856.0,6.4,68.8,31.2
167,2097,29.3,302.1,KCMO,25.4,45.2,98831.0,9.0,73.5,26.5
168,2758,33.6,302.11,KCMO,25.3,31.2,45291.0,6.5,23.2,76.8
169,41,30.6,303.05,KCMO,0.0,0.0,47500.0,0.0,0.0,100.0
170,0,0.0,303.06,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
171,0,0.0,303.07,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
172,4718,36.0,303.08,KCMO,23.6,45.7,56537.0,8.2,54.6,45.4
173,279,43.5,306.0,KCMO,10.2,7.8,23724.0,0.0,49.1,50.9
